Date,Year,Month,Urban_Pixels,Valid_Pixels,Clear_Pixels,Urban_Area_km2,Urban_Percentage,Cloud_Coverage
2022-09-24,2022,9,2955,6322266,6322266,2.6595,0.0467395709070134,26.638655462184875
2022-10-02,2022,10,1867,4149403,4149403,1.6803,0.04499442449913879,51.85179125502728
2022-10-10,2022,10,1089,5765124,5765124,0.9801,0.01888944626342816,33.103534703027854
2022-10-26,2022,10,604,6078717,6078717,0.5436,0.009936307283263886,29.46471214832246
2022-11-03,2022,11,185,3599821,3599821,0.1665,0.005139144418569701,58.22894692259671
2022-11-11,2022,11,0,3174967,3174967,0.0,0.0,63.15880287491964
2022-11-27,2022,11,740,7344023,7344023,0.666,0.010076221166518679,14.782547650377467
2022-12-05,2022,12,1977,4835952,4835952,1.7793,0.04088129906996595,43.885318833415724
2022-12-13,2022,12,1298,8087178,8087178,1.1682,0.016050098068819556,6.159239172056561
2023-01-06,2023,1,378,4360228,4360228,0.3402,0.008669271423420976,49.40545232177378
2023-01-14,2023,1,848,4590016,4590016,0.7632,0.018474881133311954,46.73907342555913
2023-01-30,2023,1,257,4607330,4607330,0.2313,0.005578067991656773,46.538167876927076
2023-02-15,2023,2,3069,8122227,8122227,2.7621,0.03778520349160396,5.75254293929668
2023-02-23,2023,2,3982,8301332,8301332,3.5838,0.04796820558435683,3.6742716970798264
2023-03-03,2023,3,2720,6763684,6763684,2.448,0.0402147705303796,21.516596696673698
2023-03-19,2023,3,4448,7852989,7852989,4.0032,0.05664085356543859,8.876685719855464
2023-03-27,2023,3,3254,5697539,5697539,2.9286,0.05711237781786137,33.88776720298725
2023-04-04,2023,4,1985,6338903,6338903,1.7865,0.031314566574058636,26.44560558274677
2023-04-12,2023,4,3000,8578460,8578460,2.7,0.03497131186716497,0.4585761396522155
2023-04-20,2023,4,1234,5213110,5213110,1.1106,0.02367109076923372,39.50891044072973
2023-04-28,2023,4,1985,7831346,7831346,1.7865,0.02534685608323269,9.127823457469152
2023-05-22,2023,5,3177,7374674,7374674,2.8593,0.04307987037799908,14.426884258260056
2023-05-30,2023,5,1074,4674880,4674880,0.9666,0.02297385173523171,45.754341504621735
2023-06-07,2023,6,941,3980973,3980973,0.8469,0.023637437380258544,53.806193562760654
2023-06-15,2023,6,3315,6248318,6248318,2.9835,0.05305427796728656,27.496721969649503
2023-06-23,2023,6,697,4307234,4307234,0.6273,0.016182078800455232,50.02037600458576
2023-07-09,2023,7,226,4389311,4389311,0.2034,0.005148871884448379,49.06798344855755
2023-07-17,2023,7,391,4688411,4688411,0.3519,0.008339712538000614,45.597332553568236
2023-08-02,2023,8,143,5410303,5410303,0.1287,0.002643105201316821,37.22075242690283
2023-08-10,2023,8,44,3372239,3372239,0.0396,0.0013047711031157637,60.86972817295933
2023-08-18,2023,8,47,3865587,3865587,0.0423,0.0012158567379288061,55.14509200531911
2023-08-26,2023,8,11894,6166685,6166685,10.7046,0.19287510226320947,28.44396250629498
2023-09-19,2023,9,40,3509164,3509164,0.036,0.0011398726306322531,59.28089877210204
2023-10-21,2023,10,520,5026948,5026948,0.468,0.010344248637543099,41.66906862164916
2023-10-29,2023,10,585,6855232,6855232,0.5265,0.008533628037679835,20.454305997461123
2023-11-30,2023,11,16,3646862,3646862,0.0144,0.0004387333548678288,57.68309975191402
2024-01-17,2024,1,1957,6734965,6734965,1.7613,0.02905731507142205,21.84984184228787
2024-02-02,2024,2,2344,7560920,7560920,2.1096,0.031001518333747743,12.265751370970923
2024-02-10,2024,2,2462,6734020,6734020,2.2158,0.036560627975562886,21.86080728894706
2024-02-18,2024,2,3670,8516344,8516344,3.303,0.04309360918253185,1.179348292755379
2024-02-26,2024,2,2111,5505976,5505976,1.8999,0.03834015985540075,36.110596682749325
2024-03-05,2024,3,9042,8568595,8568595,8.1378,0.10552488476815627,0.5730461198563933
2024-03-13,2024,3,11690,7903477,7903477,10.521,0.14790958460434567,8.29084077707305
2024-03-29,2024,3,12421,6781012,6781012,11.1789,0.1831732490666585,21.315528696980035
2024-04-06,2024,4,6439,6060939,6060939,5.7951,0.10623766383393728,29.671001789282407
2024-04-14,2024,4,454,4380806,4380806,0.4086,0.010363389750653191,49.1666724684903
2024-04-22,2024,4,667,3657926,3657926,0.6003,0.01823437652921355,57.55471699864702
2024-04-30,2024,4,126,4342224,4342224,0.1134,0.002901738832450836,49.61436438701413
2024-05-08,2024,5,1285,5522005,5522005,1.1565,0.02327053307630109,35.92460182084432
2024-06-17,2024,6,831,5708667,5708667,0.7479,0.014556813350647358,33.7586418162957
2024-07-03,2024,7,2920,6165575,6165575,2.628,0.04735973530449309,28.45684255475181
2024-07-11,2024,7,300,4960398,4960398,0.27,0.006047901801428031,42.44129134669609
2024-07-19,2024,7,489,5916077,5916077,0.4401,0.008265612499634471,31.351929338429656
2024-07-27,2024,7,0,3174967,3174967,0.0,0.0,63.15880287491964
2024-08-04,2024,8,1284,6203604,6203604,1.1556,0.020697646077989504,28.01556745316188
2024-08-12,2024,8,1206,7736791,7736791,1.0854,0.01558785806673594,10.225006323987756
2024-08-20,2024,8,487,4606661,4606661,0.4383,0.010571648315341632,46.54593071694295
2024-08-28,2024,8,1065,5066863,5066863,0.9585,0.021018922358863858,41.20590904132987
2024-09-13,2024,9,3149,5486397,5486397,2.8341,0.05739650265921332,36.33778449242166
2024-09-21,2024,9,382,3918430,3918430,0.3438,0.009748802454044095,54.53192047324315
2024-09-29,2024,9,2914,5611865,5611865,2.6226,0.05192569671579769,34.881898078203946
2024-10-31,2024,10,2148,5845315,5845315,1.9332,0.03674737802838684,32.173026625729
2024-11-08,2024,11,596,3871062,3871062,0.5364,0.015396291766962143,55.081562036579335
2024-11-16,2024,11,1339,6883093,6883093,1.2051,0.01945346372626376,20.131016781194667
2024-12-02,2024,12,583,5856017,5856017,0.5247,0.0099555721918157,32.04884439276954
2024-12-10,2024,12,429,4100555,4100555,0.3861,0.01046199843679697,52.41860621630591
2024-12-18,2024,12,0,3412106,3412106,0.0,0.0,60.40712556770844
2024-12-26,2024,12,1754,7887917,7887917,1.5786,0.022236542296274163,8.47139352841385
